Mouse Gene Ranked,Mouse Gene Unranked,Human Ortholog Gene Symbol
Per3,Tmem50b,ENSG00000142188
Ccdc66,Vash2,ENSG00000143494
Gm14288,D130017N08Rik,not found
Zfp839,Itga7,ENSG00000135424
Dnah9,Ankrd66,ENSG00000230062
Slc38a10,Setd3,ENSG00000183576
Pias2,L3mbtl2,ENSG00000100395
Spag17,Coq10b,ENSG00000115520
Il15,Zfp169,ENSG00000175787
Mapk9,Zfp599,not found
Ccdc73,Hmga2,ENSG00000149948
Ghdc,Bcas1,ENSG00000064787
Rps27a,Fam178b,ENSG00000168754
Bin3,Myc,ENSG00000136997
Stc2,Cd160,ENSG00000117281
Parl,Ltbp4,ENSG00000090006
Kars,Gnb2l1,ENSG00000204628
H2-M3,Man2c1,ENSG00000140400
Arl14ep,Fdx1l,ENSG00000267673
Pif1,Gipc2,ENSG00000137960
Prkcz,Tln1,ENSG00000137076
Gnpda1,Lars2,ENSG00000011376
Dnah1,Slc27a1,ENSG00000130304
Mapk1ip1l,Snapin,ENSG00000143553
BC048403,Mapk8ip1,ENSG00000121653
Ubl5,Nek11,ENSG00000114670
Ssr4,Raf1,ENSG00000132155
Wdr48,Adprm,ENSG00000170222
Lrrn4cl,Heatr2,ENSG00000164818
Srl,Gprc5b,ENSG00000167191
Slc25a19,Rp1,ENSG00000171903
Slc35g2,Rp1,ENSG00000186204
Araf,Rp1,ENSG00000187048
Irf9,Rp1,ENSG00000162365
Gpr89,Ctns,ENSG00000040531
Cby1,Trim37,ENSG00000108395
Mx2,Eif4e3,ENSG00000163412
Cd5,Ttc39a,ENSG00000085831
Znf41-ps,Syna,ENSG00000244476
Grhl1,Mrpl13,ENSG00000172172
Xpo1,Akr7a5,ENSG00000211454
Zbtb25,Mrps11,ENSG00000181991
Vstm4,Nrf1,ENSG00000082641
Otof,Stac3,ENSG00000185482
Cflar,Zfp362,ENSG00000160094
Cxxc5,Vamp1,ENSG00000139190
Kdm2b,Lats2,ENSG00000150457
Sdc3,Gm14393,not found
Wdr34,Sdhd,ENSG00000204370
Cspg5,Tprn,ENSG00000176058
Cldn7,Necap2,ENSG00000157191
Pecr,Pdp2,ENSG00000172840
Ccser1,Dtymk,ENSG00000168393
Aldh16a1,Mib1,ENSG00000101752
Rasa1,Krt23,ENSG00000108244
Spg21,Nufip1,ENSG00000083635
Aifm3,Rras2,ENSG00000133818
Zmynd12,Chek1,ENSG00000149554
AI593442,Pcnx,ENSG00000100731
Mar-01,Hmox2,ENSG00000103415
Ugt1a6a,Tpx2,ENSG00000088325
Pald1,Pf4,not found
Timm44,Il1r1,ENSG00000115594
Tmem107,0610009L18Rik,not found
Mtch1,Top3b,ENSG00000100038
Tcp1,6330403K07Rik,ENSG00000286190
Usp37,Etl4,ENSG00000120549
Ptges2,Mlc1,ENSG00000100427
Dicer1,Igip,ENSG00000182700
Zfp454,1810011H11Rik,ENSG00000204161
Zfyve28,Hoxa1,ENSG00000105991
Sec61a2,Rab14,ENSG00000119396
Tbrg1,Hmgn1,ENSG00000205581
Dkk2,Mtmr14,ENSG00000163719
Fam83g,Rarres2,ENSG00000106538
Polr1a,Pgap1,ENSG00000197121
Hexim1,Vps13a,ENSG00000197969
Tprgl,Prim2,ENSG00000146143
H2-Q4,Gm8234,not found
Mis12,Vwa9,ENSG00000138614
Gas8,Zfp60,ENSG00000197782
Ak7,Lmod1,ENSG00000163431
Slc30a7,Nsmaf,ENSG00000035681
Derl1,Ubb,ENSG00000170315
Agpat3,Epcam,ENSG00000119888
Kctd17,Lrrc58,ENSG00000163428
Flt3l,Aldh18a1,ENSG00000059573
Utp14b,Ahsa1,ENSG00000100591
Myl6b,Has3,ENSG00000103044
Car2,Paip1,ENSG00000172239
Lpar2,Pqbp1,ENSG00000102103
Pcgf1,Cers6,ENSG00000172292
Sstr4,Slmo2,ENSG00000101166
Src,Rad18,ENSG00000070950
Catsperg1,Hist2h2aa1,ENSG00000288825
Lgals3bp,Hist2h2aa1,ENSG00000288859
Rtp4,Lrrn3,ENSG00000173114
2210016F16Rik,1700037H04Rik,ENSG00000101220
Lamb1,Llph,ENSG00000139233
Eif3c,Hp1bp3,ENSG00000127483
Map3k19,Angel2,ENSG00000174606
Chchd10,Loh12cr1,ENSG00000165714
Pigo,Naca,ENSG00000196531
2310001H17Rik,Cdv3,ENSG00000091527
Immt,Lrrc26,ENSG00000184709
Mmaa,Airn,not found
Mgll,Tmed8,ENSG00000100580
Riok2,Efcab10,ENSG00000185055
Tubg2,Gm14420,not found
Lima1,Mitf,ENSG00000160180
Ccdc101,Rbm22,ENSG00000086589
Fam58b,Myl12b,ENSG00000118680
Ebf1,Tnfaip8l3,ENSG00000183578
Poc1a,Ncmap,ENSG00000184454
Uggt2,Mcm2,ENSG00000073111
Clns1a,Slc35b4,ENSG00000205060
Rnh1,Cenpj,ENSG00000151849
Cdkn2b,Lrrc10b,ENSG00000204950
Gorab,Bex4,ENSG00000102409
Dmkn,Kdm1b,ENSG00000165097
Ppme1,Tmem185b,ENSG00000226479
Slurp1,Ndufs4,ENSG00000164258
Aldoc,Uba2,ENSG00000126261
Ankmy2,Sun1,ENSG00000164828
Klhl41,Spata18,ENSG00000163071
Tspan33,Pes1,ENSG00000100029
Tjp2,Klhl38,ENSG00000175946
Atf6b,Mcm3,ENSG00000112118
Naglu,Zfp61,ENSG00000167380
Rfwd2,Twistnb,ENSG00000105849
Akr1a1,Hist1h1c,ENSG00000187837
Actn4,Tnfrsf10b,ENSG00000157873
Serpine1,Opcml,ENSG00000183715
Dlg1,D630029K05Rik,not found
Csnk1g1,Wasf3,ENSG00000132970
Sel1l,Rnf115,ENSG00000265491
Abcc10,Pank1,ENSG00000152782
Dnah2,Dcbld2,ENSG00000057019
Rplp2-ps1,Asphd2,ENSG00000128203
Elmsan1,Pigl,ENSG00000108474
Uso1,Sncg,ENSG00000173267
Coprs,Wdr52,ENSG00000206530
Zfp131,Serinc5,ENSG00000164300
Mat2a,Smc5,ENSG00000198887
Kcnk13,Phf20,ENSG00000025293
Rps6ka3,Ptch2,ENSG00000117425
Ptplad2,Msi1,ENSG00000135097
Hif1an,Nbr1,ENSG00000188554
Cpne3,Cttnbp2nl,ENSG00000143079
Nol6,Ppapdc2,ENSG00000205808
Ralgapb,Gemin7,ENSG00000142252
Cldn6,Txnl4a,ENSG00000141759
Psmg1,Nlrp5-ps,not found
9130023H24Rik,Ccdc115,ENSG00000136710
Poc5,Mfap3,ENSG00000037749
Caap1,Rpl32,not found
Ago4,Ikzf4,ENSG00000123411
Lgi2,Pam16,ENSG00000217930
Srsf5,Rap1gap,ENSG00000076864
P2rx4,Tonsl,ENSG00000160949
Ccdc40,Iws1,ENSG00000163166
Zfp91,Gm20324,not found
Dnali1,Oasl1,ENSG00000135114
Ireb2,Tmem248,ENSG00000106609
Prkaa1,Pcdh1,ENSG00000156453
Hook2,BC029722,ENSG00000126005
Oxsr1,Lrrc56,ENSG00000161328
Clca1,1700013F07Rik,ENSG00000179902
Slc44a4,Pycrl,ENSG00000104524
Aifm1,Dsg2,ENSG00000046604
Ino80d,Magix,ENSG00000269313
Tnks1bp1,Cyp20a1,ENSG00000119004
Aldh5a1,Ggct,ENSG00000006625
Tspan15,Meis1,ENSG00000143995
Fam160b1,Mrpl52,ENSG00000172590
Mtcp1,Gpr146,ENSG00000164849
Ssbp2,Chmp1b,ENSG00000255112
Ggn,Dhx57,ENSG00000163214
Zdhhc4,Usp11,ENSG00000102226
C530005A16Rik,Plekha1,ENSG00000107679
Slc10a3,Rfx3,ENSG00000080298
Secisbp2l,Serp1,ENSG00000120742
Tmed3,Rab1b,ENSG00000174903
Polr3b,Dimt1,ENSG00000086189
Pde8b,Ephb6,ENSG00000106123
Pdxp,Spred3,ENSG00000188766
Map6,Rabep2,ENSG00000177548
Bccip,Zzz3,ENSG00000036549
Psmc5,Elp2,ENSG00000134759
Mmp14,Hes6,ENSG00000144485
Sec23a,Trim13,ENSG00000204977
Gramd1b,Znhit3,ENSG00000273611
Zfp931,Txndc15,ENSG00000113621
Hapln1,Nudt16l1,ENSG00000168101
Degs1,Lmbrd2,ENSG00000164187
Gprin3,Ppp2r5d,ENSG00000112640
Gapvd1,Gm20257,not found
Cenpq,H2-T24,ENSG00000204592
Cox11,Cds1,ENSG00000163624
1810034E14Rik,Nfia,ENSG00000162599
Rsbn1l,Dpp4,ENSG00000197635
Dph7,Diap3,ENSG00000139734
Ube2l3,Sv2c,ENSG00000122012
Slc22a5,Gm101,ENSG00000163075
Slc4a5,Myo9b,ENSG00000099331
Idh3g,Gins4,ENSG00000147536
Pum2,Cdc45,ENSG00000093009
4930562C15Rik,Gpd1,ENSG00000167588
Stx16,Ash1l,ENSG00000116539
Ear2,Slc25a33,ENSG00000171612
Scyl2,Acp2,ENSG00000134575
Wbp1,Hmgb1,not found
Satb1,Ctnnd2,ENSG00000169862
Tram2,Oxct1,ENSG00000083720
Fam179a,Arrdc2,ENSG00000105643
Traf3,C1qb,ENSG00000173369
Abcc1,Ccni,ENSG00000118816
Cryz,Nkiras1,ENSG00000197885
Gabpb2,Fgl2,ENSG00000127951
Cenpa,Ccdc167,ENSG00000198937
Lrrc36,Kat5,ENSG00000172977
Cldn18,Thbs3,ENSG00000169231
Psmc1,Nudt12,ENSG00000112874
S100a16,Snhg7,not found
Cd4,Lat,ENSG00000213658
Larp4,Tmem160,ENSG00000130748
Acvr2a,Baz1b,ENSG00000009954
Ascc2,Alox12,ENSG00000108839
A430078G23Rik,Rnf10,ENSG00000022840
Prps1,Rprd1b,ENSG00000101413
Tmpo,Susd4,ENSG00000143502
Ptk7,Fem1c,ENSG00000145780
Arid1b,Fsd1l,ENSG00000106701
Zfp30,Apmap,ENSG00000101474
Cfb,Ak6,ENSG00000273841
Chd9,Stxbp3a,ENSG00000116266
Abhd4,Olfr78,ENSG00000167332
Zfp365,Gstm1,ENSG00000134184
Nlrx1,1700049G17Rik,not found
Scube2,Vsig10,ENSG00000176834
Fam84b,Rnf34,ENSG00000170633
Srprb,Lmo2,ENSG00000135363
Mecom,Capn2,ENSG00000162909
Fgfr1op2,Rock1,ENSG00000067900
Exosc10,Vsig10l,ENSG00000186806
Gpx1,Galm,ENSG00000143891
Nrbf2,Atrnl1,ENSG00000107518
Usmg5,Rpl27,ENSG00000131469
Cacna1c,Plin1,ENSG00000166819
Zfp446,Mylk,ENSG00000065534
Sort1,Prlr,ENSG00000113494
Zfp764,Psme1,ENSG00000092010
Slc4a2,Ckmt1,ENSG00000237289
Amigo1,Ckmt1,ENSG00000223572
Tango2,Chic1,ENSG00000204116
Khk,Rpl7l1,ENSG00000146223
Sdr42e1,Fam212b,ENSG00000197852
Dnaaf1,Pms2,ENSG00000122512
Fbxo31,C030034I22Rik,not found
Bhlhe22,Kif26b,ENSG00000162849
Vhl,Grap,ENSG00000154016
Zbtb33,Grap,ENSG00000189152
Golga5,Pofut1,ENSG00000101346
Copg1,Eme2,ENSG00000197774
Bcar3,Chd2,ENSG00000173575
Rhoa,Stx2,ENSG00000111450
Agl,Cacng7,ENSG00000105605
Slc27a2,Mrps9,ENSG00000135972
Nrxn2,Fmo1,ENSG00000010932
Rbm46,Evi5,ENSG00000067208
Golga4,Ppm1d,ENSG00000170836
Slc35d1,Nucb1,ENSG00000104805
Arih1,Sugp2,ENSG00000064607
Eif4e,Olfr1342,not found
Mapk15,Fam43a,ENSG00000185112
Tiam2,Crkl,ENSG00000099942
Wfdc3,Sh3rf3,ENSG00000172985
Ube2g2,Rhot1,ENSG00000126858
Tcea3,Pex11b,ENSG00000131779
Cdc5l,Tmem223,ENSG00000168569
Ccdc69,Nprl3,ENSG00000103148
Pfkfb3,Nek6,ENSG00000119408
Man2b2,Synj1,ENSG00000159082
Ptrhd1,Cdyl,ENSG00000153046
Chp1,Ubr5,ENSG00000104517
Mrpl28,Dram1,ENSG00000136048
Fmn1,Tgfbrap1,ENSG00000135966
Rwdd1,Map3k4,ENSG00000085511
Rptor,Ndufs8,ENSG00000110717
Itga10,Pgbd1,ENSG00000137338
H3f3a,Sv2a,ENSG00000159164
Pdcd6,Lama3,ENSG00000053747
Cap1,AW209491,ENSG00000136197
2700046A07Rik,Rab22a,ENSG00000124209
Nek5,Xrcc2,ENSG00000196584
Samsn1,Tysnd1,ENSG00000156521
Sh3bgrl3,Dnah10,ENSG00000197653
Rbl1,Xrra1,ENSG00000166435
Cat,Tfap4,ENSG00000090447
9430076C15Rik,Tpcn2,ENSG00000162341
Ppp1r3a,Serinc3,ENSG00000132824
Cyfip2,1010001N08Rik,not found
Atpaf2,Zfp160,ENSG00000197497
Tceal5,Zfp160,ENSG00000170949
Ncoa5,Dnah7b,ENSG00000118997
Col6a1,Ggnbp2,ENSG00000278311
Hspa12a,Nhsl2,ENSG00000204131
Psmd1,Sh3kbp1,ENSG00000147010
Sh3bp5l,Slc35b1,ENSG00000121073
Sepn1,Rplp1,ENSG00000137818
Plxna4,Gm14288,ENSG00000170100
Gm10778,Acox3,ENSG00000087008
Serpini1,Cnot11,ENSG00000158435
Pcif1,Ccdc66,ENSG00000180376
Gata4,Per3,ENSG00000049246
Tbc1d16,Pgap2,ENSG00000148985
Lpgat1,Sulf2,ENSG00000196562
Rad51,Pias2,ENSG00000078043
Nfx1,Rps27a,ENSG00000143947
Dtx3l,Il15,ENSG00000164136
Fut2,Dnah9,ENSG00000007174
Fam13c,Ccdc73,ENSG00000186714
Zcchc24,Slc38a10,ENSG00000157637
Abca2,Ghdc,ENSG00000167925
Abcg1,Spag17,ENSG00000155761
Boc,Mapk9,ENSG00000050748
5830444B04Rik,Zfp839,ENSG00000022976
Phgdh,Bin3,ENSG00000147439
Cox6a2,H2-M3,not found
Tmem104,Pif1,ENSG00000140451
Btaf1,Gnpda1,ENSG00000113552
Smtn,Stc2,ENSG00000113739
Mbtps1,Mapk1ip1l,ENSG00000168175
Cenpb,Kars,ENSG00000065427
Atp11c,Arl14ep,ENSG00000152219
Nucks1,Prkcz,ENSG00000067606
Jmjd1c,Parl,ENSG00000175193
Mar-07,BC048403,ENSG00000174206
Pard3b,Ssr4,ENSG00000180879
Galnt7,Ubl5,ENSG00000198258
Cysltr2,Lrrn4cl,ENSG00000177363
Kiss1r,Slc25a19,ENSG00000125454
Mrps35,Araf,ENSG00000078061
Ntf5,Znf41-ps,not found
Trank1,Slc35g2,ENSG00000168917
2810454H06Rik,Cby1,ENSG00000100211
Aff2,Dnah1,ENSG00000114841
Mrps24,Irf9,ENSG00000213928
Rgs3,Gpr89,ENSG00000117262
G6pc3,Gpr89,ENSG00000188092
Fis1,Srl,ENSG00000185739
Cops5,Wdr48,ENSG00000114742
Patz1,Grhl1,ENSG00000134317
Slc7a3,Mx2,ENSG00000157601
1700007K13Rik,Zbtb25,ENSG00000089775
Zkscan5,Cd5,ENSG00000110448
Clip1,Vstm4,ENSG00000165633
Arhgap32,Cxxc5,ENSG00000171604
Wdr78,Otof,ENSG00000115155
Ccdc12,Xpo1,ENSG00000082898
Slc44a3,Cldn7,ENSG00000181885
Fzd7,Sdc3,ENSG00000162512
Fst,Kdm2b,ENSG00000089094
2610524H06Rik,Pecr,ENSG00000115425
Avpi1,Wdr34,ENSG00000119333
Trim45,Cspg5,ENSG00000114646
Iqgap1,Ccser1,ENSG00000184305
Hs3st1,Cflar,ENSG00000003402
Sec11c,Aifm3,ENSG00000183773
Mapk14,Spg21,ENSG00000090487
Rmnd1,Zmynd12,ENSG00000066185
Cep95,AI593442,ENSG00000185742
Slc16a2,Tmem107,ENSG00000179029
Camk2n1,Aldh16a1,ENSG00000161618
3110009E18Rik,Rasa1,ENSG00000145715
Elavl1,Timm44,ENSG00000104980
Iqcd,Pald1,ENSG00000107719
Tbc1d9b,Zfp454,ENSG00000178187
Zfp422,Dicer1,ENSG00000100697
Scmh1,Sec61a2,ENSG00000065665
Astn2,Mtch1,ENSG00000137409
Ap5m1,Dkk2,ENSG00000155011
Vps13d,Ptges2,ENSG00000148334
Ttbk2,Tcp1,ENSG00000120438
Smpd1,Zfyve28,ENSG00000159733
Rai1,Usp37,ENSG00000135913
Slco4a1,Tbrg1,ENSG00000154144
Dcaf15,Ugt1a6a,ENSG00000167165
Snurf,Hexim1,ENSG00000186834
Adck3,Tprgl,ENSG00000158109
Msl2,Fam83g,ENSG00000188522
Espn,Mis12,ENSG00000167842
Spag16,H2-Q4,not found
Tmtc2,Polr1a,ENSG00000068654
Pcolce,Ak7,ENSG00000140057
Pfdn1,Derl1,ENSG00000136986
Osgep,Slc30a7,ENSG00000162695
Slc36a4,Flt3l,ENSG00000090554
Mzt1,Gas8,ENSG00000141013
Cox7a2,Kctd17,ENSG00000100379
Gnaz,Utp14b,ENSG00000253797
Zbtb1,Utp14b,ENSG00000156697
R3hcc1l,Agpat3,ENSG00000160216
Bckdk,Sstr4,ENSG00000132671
E330011O21Rik,Car2,ENSG00000104267
Scaf8,Lpar2,ENSG00000064547
4632428N05Rik,Myl6b,ENSG00000196465
Zbtb39,Rtp4,ENSG00000136514
C2cd3,Catsperg1,ENSG00000099338
Rbpj,Pcgf1,ENSG00000115289
Sep-04,2210016F16Rik,ENSG00000165118
Eif3j2,Lgals3bp,ENSG00000108679
Ctxn1,Src,ENSG00000197122
Rab26os,Chchd10,ENSG00000250479
Ccdc57,Eif3c,ENSG00000205609
Uba7,Eif3c,ENSG00000184110
Arhgap27,Map3k19,ENSG00000176601
Zfp691,Tubg2,ENSG00000037042
Actr5,Lamb1,ENSG00000091136
F8a,Mmaa,ENSG00000151611
Aldh6a1,Immt,ENSG00000132305
Nsmce1,Riok2,ENSG00000058729
Abi1,Pigo,ENSG00000165282
Mme,2310001H17Rik,not found
Thada,Ccdc101,ENSG00000176476
Alg8,Lima1,ENSG00000050405
Cox6c,Mgll,ENSG00000074416
Zfp652,Poc1a,ENSG00000164087
Cep78,Cdkn2b,ENSG00000147883
Smek2,Dmkn,ENSG00000161249
Prrx2,Clns1a,ENSG00000074201
Clec12b,Rnh1,ENSG00000023191
Tmem106c,Ebf1,ENSG00000164330
Arhgap33,Fam58b,ENSG00000262919
Nol11,Slurp1,ENSG00000126233
Ly6e,Gorab,ENSG00000120370
Mybbp1a,Ppme1,ENSG00000214517
Rnpepl1,Uggt2,ENSG00000102595
Lsm2,Aldoc,ENSG00000109107
Erich2,Tspan33,ENSG00000158457
Egfl8,Ankmy2,ENSG00000106524
Dctn6,Atf6b,ENSG00000213676
Usp53,Klhl41,ENSG00000239474
Znrd1,Akr1a1,ENSG00000117448
Mtif2,Naglu,ENSG00000108784
Reep2,Rfwd2,ENSG00000143207
Hunk,Tjp2,ENSG00000119139
Senp8,Actn4,ENSG00000130402
Fbxo38,Uso1,ENSG00000138768
Arhgef12,Serpine1,ENSG00000106366
Prmt7,Mar-01,error - retries exceeded
Rangrf,Coprs,ENSG00000172301
Sorbs3,Rplp2-ps1,ENSG00000177600
Zfp251,Dlg1,ENSG00000075711
Avl9,Dnah2,ENSG00000183914
Otud4,Csnk1g1,ENSG00000169118
Gm7102,Kcnk13,ENSG00000152315
Mrps31,Hif1an,ENSG00000166135
Rbm26,Zfp131,ENSG00000172262
Marcksl1,Sel1l,ENSG00000071537
Cpn1,Ptplad2,ENSG00000188921
Ptpn18,Mat2a,ENSG00000168906
Bphl,Elmsan1,ENSG00000156030
Rnf166,Cldn6,ENSG00000184697
Rfk,Cpne3,ENSG00000085719
Sema6a,Nol6,ENSG00000165271
Leprel4,Poc5,ENSG00000152359
Ripk4,9130023H24Rik,not found
Tmem204,Psmg1,ENSG00000183527
Efcab2,Ago4,ENSG00000134698
Sipa1l1,Abcc10,ENSG00000124574
Ercc1,Rps6ka3,ENSG00000177189
Ccdc22,Ralgapb,ENSG00000170471
Fgf2,Lgi2,ENSG00000153012
Ndufa2,Caap1,ENSG00000120159
Tomm40,P2rx4,ENSG00000135124
Vrk2,Dnali1,ENSG00000163879
Set,Srsf5,ENSG00000100650
Ago1,Ccdc40,ENSG00000141519
Pbk,Zfp91,ENSG00000186660
Pik3r2,Ireb2,ENSG00000136381
2410131K14Rik,Oxsr1,ENSG00000172939
Rplp0,Tnks1bp1,ENSG00000149115
Siae,Prkaa1,ENSG00000132356
Cox10,Hook2,ENSG00000095066
Tnks,Aifm1,ENSG00000156709
Tead1,Mtcp1,ENSG00000214827
Lrrc48,Tspan15,ENSG00000099282
Fam222b,Slc44a4,ENSG00000204385
Kcnk6,Zdhhc4,ENSG00000136247
Ppwd1,Fam160b1,ENSG00000151553
Gm12669,Ino80d,ENSG00000114933
Ptpn5,Ggn,ENSG00000179168
Itgav,Tmed3,ENSG00000166557
Smc2,Pdxp,ENSG00000241360
9830147E19Rik,C530005A16Rik,not found
Psmb10,Aldh5a1,ENSG00000112294
Cgnl1,Slc10a3,ENSG00000126903
3110082I17Rik,Ssbp2,ENSG00000145687
Slc16a10,Clca1,not found
Cbfa2t2,Secisbp2l,ENSG00000138593
Tfeb,Map6,ENSG00000171533
Uqcc2,Psmc5,ENSG00000087191
Pcgf3,Bccip,ENSG00000107949
Clca3,Zfp931,not found
Zfp647,Sec23a,ENSG00000100934
Hcn2,Mmp14,ENSG00000157227
Rae1,Gramd1b,ENSG00000023171
3110001I22Rik,Pde8b,ENSG00000113231
Scaper,1810034E14Rik,not found
Rbm24,Polr3b,ENSG00000013503
Agap1,Hapln1,ENSG00000145681
Cops4,Dph7,ENSG00000148399
4632428C04Rik,Degs1,ENSG00000143753
Pbx1,Rsbn1l,ENSG00000187257
Mnd1,Gapvd1,ENSG00000165219
Phc3,Ube2l3,ENSG00000185651
Aif1,Cenpq,ENSG00000031691
Med13,Cox11,ENSG00000166260
P2rx5,Gprin3,ENSG00000185477
Trmt61a,Idh3g,ENSG00000067829
Zfp106,Stx16,ENSG00000124222
Ppcdc,Slc4a5,ENSG00000188687
Baiap2l1,Satb1,ENSG00000182568
Zbtb41,Ear2,ENSG00000160113
L2hgdh,Pum2,ENSG00000055917
Dnajc7,Tram2,ENSG00000065308
Ly86,Traf3,ENSG00000131323
Cnot1,Scyl2,ENSG00000136021
Glb1l3,Fam179a,ENSG00000189350
Gm16023,Wbp1,ENSG00000239779
4921524J17Rik,Lrrc36,ENSG00000159708
Mia,Gabpb2,ENSG00000143458
Zbtb24,Cryz,ENSG00000116791
Trim63,Psmc1,ENSG00000100764
Slc35a1,Abcc1,ENSG00000103222
Adar,Cenpa,ENSG00000115163
Il13ra1,Slc22a5,ENSG00000197375
Zfp738,S100a16,ENSG00000188643
Pvrl4,Ascc2,ENSG00000100325
Hps1,Cldn18,ENSG00000066405
Six1,Acvr2a,ENSG00000121989
Tex10,Larp4,ENSG00000161813
Rundc3a,4930562C15Rik,ENSG00000205832
Nexn,Prps1,ENSG00000147224
Acot11,Cd4,ENSG00000010610
Stau1,Zfp30,ENSG00000120784
Pcdhb3,Abhd4,ENSG00000100439
Cox14,Zfp365,ENSG00000138311
Wdr5,Ptk7,ENSG00000112655
Xaf1,Tmpo,ENSG00000120802
Ick,Cfb,ENSG00000243649
Nipa2,A430078G23Rik,ENSG00000104880
Abhd12,Nlrx1,ENSG00000160703
Col11a1,Srprb,ENSG00000144867
Ankrd1,Scube2,ENSG00000175356
Syf2,Fgfr1op2,ENSG00000111790
Adamts9,Usmg5,ENSG00000173915
Ints3,Gpx1,ENSG00000233276
Cdc16,Fam84b,ENSG00000168672
Acy3,Mecom,ENSG00000085276
Tmbim1,Chd9,ENSG00000177200
2810004N23Rik,Nrbf2,ENSG00000148572
2210039B01Rik,Arid1b,ENSG00000049618
Map3k14,Sort1,ENSG00000134243
Parp10,Khk,ENSG00000138030
Sfr1,Amigo1,ENSG00000181754
Strada,Tango2,ENSG00000183597
Ftl1,Sdr42e1,ENSG00000184860
Strn4,Exosc10,ENSG00000171824
Itgae,Cacna1c,ENSG00000151067
Tec,Zfp764,ENSG00000169955
Sec13,Zfp764,ENSG00000169951
Sox4,Vhl,ENSG00000134086
Hpn,Vhl,ENSG00000189030
Acot2,Zfp446,ENSG00000083838
Fry,Bhlhe22,ENSG00000180828
Dnajc15,Rhoa,ENSG00000067560
Hps5,Golga5,ENSG00000066455
Tle6,Zbtb33,ENSG00000177485
Hapln3,Dnaaf1,ENSG00000154099
Cep41,Fbxo31,ENSG00000112029
Scd1,Copg1,ENSG00000181789
A330074K22Rik,Agl,ENSG00000162688
Kif3c,Slc4a2,ENSG00000164889
2010012O05Rik,Bcar3,ENSG00000137936
Wrn,Rbm46,ENSG00000151962
Nop14,Arih1,ENSG00000166233
Muc1,Slc27a2,ENSG00000140284
Vti1b,Wfdc3,ENSG00000124116
Pcsk5,Slc35d1,ENSG00000116704
Slc25a36,Nrxn2,ENSG00000110076
Eif2ak2,Ube2g2,ENSG00000184787
Zfp27,Golga4,ENSG00000144674
Rxra,Tcea3,ENSG00000204219
Armcx3,Eif4e,ENSG00000151247
Pdcd2,Cdc5l,ENSG00000096401
Gtf2ird2,Ccdc69,ENSG00000198624
2310045N01Rik,Chp1,ENSG00000187446
Gtf3a,Mrpl28,ENSG00000086504
Ccdc85c,Ptrhd1,ENSG00000184924
Arpc2,Pfkfb3,ENSG00000170525
Kank2,Mapk15,ENSG00000181085
Hipk4,H3f3a,not found
Ifit2,Rwdd1,ENSG00000111832
Atg4b,Man2b2,ENSG00000013288
Mtdh,Tiam2,ENSG00000146426
Grasp,Pdcd6,ENSG00000249915
Ifnar2,2700046A07Rik,not found
Irx5,Cap1,ENSG00000052344
Anxa6,Rptor,ENSG00000141564
Rnf41,Fmn1,ENSG00000248905
Stx5a,Itga10,ENSG00000143127
Klhdc10,Sh3bgrl3,ENSG00000142669
Rps6ka2,Nek5,ENSG00000197168
Ttc16,Atpaf2,ENSG00000171953
Dync1li1,Tceal5,ENSG00000204065
U2af1,Tceal5,ENSG00000204071
Btc,Tceal5,ENSG00000196507
Meis2,9430076C15Rik,ENSG00000146592
Ppif,Rbl1,ENSG00000080839
Pqlc3,Samsn1,ENSG00000155307
Cd3g,Sepn1,ENSG00000162430
Shisa9,Col6a1,ENSG00000142156
Tekt4,Ncoa5,ENSG00000124160
Ythdf3,Hspa12a,ENSG00000165868
Atf2,Cyfip2,ENSG00000055163
Ndufb9,Cat,ENSG00000165125
Echdc2,Ppp1r3a,ENSG00000154415
Ncbp1,Sh3bp5l,ENSG00000175137
Ptprj,Psmd1,ENSG00000173692
Tubgcp2,Rad51,ENSG00000051180
Slc27a3,Gata4,ENSG00000136574
Hdlbp,Plxna4,ENSG00000221866
Ube2e3,Serpini1,ENSG00000163536
Phpt1,Lpgat1,ENSG00000123684
Cdpf1,Pcif1,ENSG00000100982
Snapc1,Tbc1d16,ENSG00000167291
Apc2,Fut2,ENSG00000176920
Clip3,Gm10778,not found
Cars,Nfx1,ENSG00000086102
Metap2,Fam13c,ENSG00000148541
1700101E01Rik,Cox6a2,ENSG00000156885
Zfp830,Zcchc24,ENSG00000165424
Agtr2,Abcg1,ENSG00000160179
Mbtd1,Phgdh,ENSG00000092621
Creb3l4,Tmem104,ENSG00000109066
Nip7,Boc,ENSG00000144857
Daw1,Dtx3l,ENSG00000163840
Gm527,Abca2,ENSG00000107331
4930519F09Rik,Cenpb,ENSG00000125817
D16Ertd472e,Smtn,ENSG00000183963
Pcbp3,Mbtps1,ENSG00000140943
Hsdl1,Btaf1,ENSG00000095564
Zfpm1,Cysltr2,not found
E2f6,Atp11c,ENSG00000101974
Gpr107,5830444B04Rik,not found
2610002M06Rik,Nucks1,ENSG00000069275
Eps8l2,Kiss1r,ENSG00000116014
Ttc30a1,Pard3b,ENSG00000116117
Dcaf10,Ntf5,ENSG00000225950
Lrig3,Galnt7,ENSG00000109586
Pex7,Mrps35,ENSG00000061794
Ap2a1,Mrps24,ENSG00000062582
