Mouse Genes Ranked,Mouse Genes Unranked,Human Ortholog Symbol
Madd,Avpi1,ENSG00000119986
Ufsp1,1700001L19Rik,ENSG00000215217
Olfm2,Gfer,ENSG00000127554
Aig1,Ip6k3,ENSG00000161896
Mrs2,Rad18,ENSG00000070950
Mgp,Rdh1,ENSG00000139547
D430020J02Rik,Mmp9,ENSG00000100985
Inha,B4galnt2,ENSG00000167080
Zfp143,Fam188b,ENSG00000106125
Psrc1,Slc29a3,ENSG00000198246
Pus1,Mcm9,ENSG00000111877
Zfp426,Cpb1,ENSG00000153002
Slc48a1,Mocos,ENSG00000075643
Cyth1,Cma1,ENSG00000092009
Lasp1,Atrip,ENSG00000164053
Hc,Nav2,ENSG00000136546
Ino80b,Scn7a,ENSG00000136546
Idua,Emilin2,ENSG00000132205
Knop1,Akap11,ENSG00000023516
Cpe,Vtn,ENSG00000109072
Hat1,Myo18b,ENSG00000133454
Rala,Tdrp,ENSG00000180190
Ankrd12,Zfp612,ENSG00000167377
Crtc1,Ttc23,ENSG00000103852
Baz2b,Tlr1,ENSG00000174125
Dyrk1a,Galnt5,ENSG00000136542
Icmt,Gusb,ENSG00000169919
Atp1b3,Wbp5,ENSG00000185222
Crip2,Ube2cbp,ENSG00000118420
Zfp963,Dok2,ENSG00000147443
Uqcrh,Wdr4,ENSG00000160193
Rpa2,Ctss,ENSG00000163131
Cd99l2,St3gal6,ENSG00000064225
Tspyl1,Cisd3,ENSG00000277972
Rab40b,Tusc5,ENSG00000184811
Zdhhc12,Birc3,ENSG00000023445
Ssr2,Mst1r,ENSG00000164078
Psmd9,Tceal3,ENSG00000196507
Tspan14,Rassf7,ENSG00000099849
Bbs2,Slc52a3,ENSG00000101276
Atxn7l1,C1s1,ENSG00000182326
Mettl14,Cd180,ENSG00000134061
Asb14,Ccdc62,ENSG00000130783
Slc13a3,Twistnb,ENSG00000105849
Tmem242,Fkbp2,ENSG00000286264
Tatdn2,Fam210b,ENSG00000124098
Cacnb1,Ufsp1,ENSG00000176125
Slc25a12,Sugp2,ENSG00000064607
Mcl1,Lipa,ENSG00000107798
Ckap2l,Pld4,ENSG00000166428
Col2a1,Ppp1r35,ENSG00000160813
Tmem186,Morn5,ENSG00000185681
Hgf,Fdx1,ENSG00000137714
Pdcd7,9030617O03Rik,ENSG00000133943
Cdc42ep2,Spag17,ENSG00000155761
Ptp4a2,C7,ENSG00000112936
Sparc,Ttll13,ENSG00000213471
Sh3glb2,Susd1,ENSG00000106868
Spata5l1,Ermap,ENSG00000164010
4930444P10Rik,Fam214a,ENSG00000047346
Arxes2,Spdl1,ENSG00000040275
Pmm1,Neil3,ENSG00000109674
Ttc18,Tapbp,ENSG00000231925
Dync1h1,Rsph4a,ENSG00000111834
Npff,Tg,ENSG00000042832
Dach2,E130012A19Rik,ENSG00000273604
Eny2,C1qc,ENSG00000159189
Srsf10,Fmn2,ENSG00000155816
Nipal2,Gprasp2,ENSG00000158301
Iqce,Prnd,ENSG00000171864
Dmxl1,Dusp28,ENSG00000188542
Rpl22,Zbtb49,ENSG00000168826
Smarca4,Angptl6,ENSG00000130812
Gps2,Nlrc4,ENSG00000091106
Arl16,Hdac6,ENSG00000094631
Dnase1l1,Fam21,ENSG00000172661
Habp4,Homez,ENSG00000290292
Rbpms2,Extl1,ENSG00000158008
Nmt2,Dpm2,ENSG00000136908
Slc7a4,Haus3,ENSG00000214367
B9d1,Pvrl2,ENSG00000130202
Greb1l,Ppan,ENSG00000130810
Tmem17,Cdkn1a,ENSG00000124762
Lrp10,Pex26,ENSG00000215193
Gsta1,Uhrf1,ENSG00000276043
Csk,Tmem171,ENSG00000157111
Mzf1,C8g,ENSG00000176919
Blmh,Wdr96,ENSG00000197748
Trim30a,Ttk,ENSG00000112742
Tmem131,Krcc1,ENSG00000172086
Zfp809,Ddt,ENSG00000099977
Atad2,4921507P07Rik,ENSG00000153790
Snap47,Xpc,ENSG00000154767
D17Wsu92e,Abcb10,ENSG00000135776
Zfp456,Izumo4,ENSG00000099840
Slc18a2,Myoz3,ENSG00000164591
Rpl14,Xrcc3,ENSG00000126215
Mfn1,Lipe,ENSG00000079435
Arhgap31,Amz1,ENSG00000174945
Mpc2,Dtwd1,ENSG00000104047
Cdc27,Ankrd45,ENSG00000183831
Nsfl1c,Pla2r1,ENSG00000153246
Sbds,Col20a1,ENSG00000101203
Uqcrb,Zc3hav1l,ENSG00000146858
Tmbim6,Pmf1,ENSG00000160783
Cldn23,Xrcc4,ENSG00000152422
Rab30,Hopx,ENSG00000171476
Zfp526,Tmem88b,ENSG00000205116
Sipa1l3,Ccdc71l,ENSG00000253276
Gm4951,Pla2g4f,ENSG00000168907
Pank3,Prr11,ENSG00000068489
Wdr47,Stil,ENSG00000123473
Stub1,Hpx,ENSG00000110169
Cyb5b,Ces1g,ENSG00000198848
Kif18a,Adora3,ENSG00000282608
Dchs1,Nhej1,ENSG00000187736
Fam122b,Ppp1r18,ENSG00000146112
Nxpe3,Brat1,ENSG00000106009
Rnf141,Trex1,ENSG00000213689
Fat4,Fxyd3,ENSG00000089356
Zfp759,H2-Ab1,ENSG00000179344
Elf2,Alkbh2,ENSG00000189046
Rian,Gm11992,ENSG00000164746
Tm6sf1,Col15a1,ENSG00000204291
Lef1,Plekhg4,ENSG00000196155
Trappc5,Itfg3,ENSG00000167930
Phospho2,Zdhhc4,ENSG00000136247
Trappc4,Fundc2,ENSG00000165775
Akap1,Tcn2,ENSG00000185339
Nfkb2,Rnmt,ENSG00000101654
Serf2,1700007K13Rik,ENSG00000160345
Enpp2,Asxl1,ENSG00000171456
Extl2,Nop2,ENSG00000111641
Pik3c2a,Ptpdc1,ENSG00000158079
Tsr2,Ttc32,ENSG00000183891
Dcps,Sfmbt2,ENSG00000198879
Sik2,Mppe1,ENSG00000154889
Bai2,Atp1b3,ENSG00000069849
Dennd6a,E130311K13Rik,ENSG00000174928
Pde12,Zfpm1,ENSG00000179588
Thsd7b,Ddx31,ENSG00000125485
Disc1,Pla2g16,ENSG00000176485
Ccdc173,Pgc,ENSG00000096088
Adcy8,2610528J11Rik,ENSG00000253313
Fam131b,Tyrobp,ENSG00000011600
Pgam5,Mmp8,ENSG00000118113
Ngfr,Tspan1,ENSG00000117472
Hnrnpr,1810043G02Rik,ENSG00000160226
Bloc1s1,Itgam,ENSG00000169896
Zcchc14,Abhd14a,ENSG00000248487
Chac2,Gadd45gip1,ENSG00000179271
Xlr4a,Alox15,ENSG00000161905
Scarb1,Fam208a,ENSG00000163946
Rpl13,Mrgpre,ENSG00000184350
Slc38a5,Cenpj,ENSG00000151849
Wnt3a,Tgs1,ENSG00000137574
Pabpc4l,Traf3ip1,ENSG00000204104
Gata2,Ttc25,ENSG00000204815
Ism1,Mrps30,ENSG00000112996
Prdm16,Col6a5,ENSG00000172752
Alpk1,Myef2,ENSG00000104177
Rpl4,Hyal1,ENSG00000114378
Gatad2b,Nek3,ENSG00000136098
Shh,Ecsit,ENSG00000130159
Gipc3,Tsnaxip1,ENSG00000102904
Dpm2,Padi4,ENSG00000159339
Mff,1600012H06Rik,ENSG00000185127
Mapk12,Tifab,ENSG00000255833
Entpd2,Aatk,ENSG00000181409
Psme2,Ptcd1,ENSG00000106246
Efcab11,Zfp426,ENSG00000130818
Cenph,Acox2,ENSG00000168306
Gli2,Mamdc4,ENSG00000177943
1700001L19Rik,Mrps28,ENSG00000147586
Ccdc162,Idnk,ENSG00000148057
Ndufb2,Prom2,ENSG00000155066
Sntb2,H2-Ob,ENSG00000241106
Mical2,2310014L17Rik,ENSG00000269855
Rpl6,Fpgt,ENSG00000254685
Cyb5,Zfp128,ENSG00000278129
Slit3,2310003H01Rik,ENSG00000185504
Fignl1,Ndufb11,ENSG00000147123
Fer1l5,Slco2b1,ENSG00000137491
Cxcl16,Mmab,ENSG00000139428
Zxda,Wisp2,ENSG00000064205
Aco1,Hscb,ENSG00000100209
Cep112,Trib3,ENSG00000101255
Tmed5,Trim25,ENSG00000121060
Myo1c,Tubgcp6,ENSG00000128159
Sys1,Ech1,ENSG00000104823
Aoc2,Nupr1,ENSG00000176046
Prob1,Cdpf1,ENSG00000205643
Olfml3,Fer1l5,ENSG00000249715
Nbeal1,Fam57a,ENSG00000167695
Cebpzos,Ptcd3,ENSG00000132300
Zfp329,Acox3,ENSG00000087008
Prelid1,Safb2,ENSG00000130254
Rnf2,Samd12,ENSG00000177570
Apopt1,Adgb,ENSG00000118492
Tcf7,2310047M10Rik,ENSG00000196544
Kalrn,Nudt6,ENSG00000170917
4930404N11Rik,Spc24,ENSG00000161888
Arid3a,Epb4.2,ENSG00000166947
Ccdc159,Mcat,ENSG00000100294
Adh1,Fam124a,ENSG00000150510
Tnks2,Hp,ENSG00000091513
Clasp2,Fkbpl,ENSG00000204315
Nme5,Trf,ENSG00000091513
2610005L07Rik,Ms4a1,ENSG00000156738
Sgsm2,Nuf2,ENSG00000143228
Abhd17a,Akap13,ENSG00000170776
Nek4,Cecr5,ENSG00000069998
A2m,Calca,ENSG00000110680
Ctu2,Bpifa1,ENSG00000198183
Rsph1,Fam86,ENSG00000118894
Purg,Cdca4,ENSG00000170779
Lcat,Uba7,ENSG00000182179
Melk,Ephx2,ENSG00000120915
Nckap5,Glb1,ENSG00000170266
Top3a,Fhdc1,ENSG00000137460
Epb4.1l4b,Ubxn8,ENSG00000104691
Fam46b,Nolc1,ENSG00000166197
Rps25,Hspbap1,ENSG00000169087
Rce1,Ccdc141,ENSG00000163492
Fcrls,Ccdc55,ENSG00000126653
Gak,Cwf19l2,ENSG00000152404
Slc52a2,Klk14,ENSG00000129437
2900056M20Rik,Sh2d4a,ENSG00000104611
Ola1,Sh3tc1,ENSG00000125089
Rom1,Laptm5,ENSG00000162511
Gpr56,Hmga1,ENSG00000137309
Gm19757,Armc2,ENSG00000118690
Hspa8,Cd163,ENSG00000177575
Cd151,Rep15,ENSG00000174236
Rhob,P2ry13,ENSG00000181631
Gstm7,Unc13b,ENSG00000198722
Ulk2,Ercc6l,ENSG00000186871
Rgma,Tlr6,ENSG00000174130
Rps20,Cenpn,ENSG00000166451
Tnni3,Fxn,ENSG00000165060
Tigd5,Foxn2,ENSG00000170802
Ndufa3,Rtn2,ENSG00000125744
Adcy9,Il15,ENSG00000164136
Kcnmb2,Mrpl34,ENSG00000130312
Cygb,Il22ra1,ENSG00000142677
Gosr1,Esam,ENSG00000149564
Dynlrb2,0610009O20Rik,ENSG00000081791
Ppib,Gm166,ENSG00000196118
Rnaseh2a,Disp2,ENSG00000140323
Mpzl2,Mrm1,ENSG00000278619
Leprel2,H2-Oa,ENSG00000204252
Spink5,Fbxo7,ENSG00000100225
Igfals,Cenpv,ENSG00000166582
Mapk11,Nxpe4,ENSG00000137634
Rbm8a,Gatc,ENSG00000257218
Tymp,Ang,ENSG00000214274
Scd2,Polg2,ENSG00000256525
Qrich1,Ier5,ENSG00000162783
Zfp768,Tmc5,ENSG00000103534
Fam96b,Bhlhb9,ENSG00000198908
Cdkn3,1700026D08Rik,ENSG00000156206
Usp31,B3gnt4,ENSG00000176383
Znhit2,D430042O09Rik,ENSG00000047578
Sec62,Aff1,ENSG00000172493
4930470H14Rik,2700062C07Rik,ENSG00000141428
Actg1,Tspyl4,ENSG00000187189
Rbm28,Ggn,ENSG00000179168
Klhl7,Cep131,ENSG00000141577
Gm2897,Samhd1,ENSG00000101347
Seh1l,Dnajc28,ENSG00000177692
Creg2,Aasdh,ENSG00000157426
Kdm1a,Ddx51,ENSG00000185163
Dpagt1,Nhsl1,ENSG00000135540
Pop1,Tceal8,ENSG00000180964
Chrna1,Dnaaf3,ENSG00000167646
Unc119,Sec16b,ENSG00000120341
Fzd3,Cd74,ENSG00000019582
2310009B15Rik,Xrra1,ENSG00000166435
Myo10,Zfp511,ENSG00000198546
Il3ra,Ccdc109b,ENSG00000005059
BC022687,Ica1l,ENSG00000163596
Tma16,Bcam,ENSG00000187244
Htra3,Gm14378,ENSG00000260001
Slc39a3,Rpusd3,ENSG00000156990
Acaca,Polq,ENSG00000051341
Cox15,Exo1,ENSG00000174371
Uba1,Pinx1,ENSG00000254093
Kdelr2,Edaradd,ENSG00000186197
Pkn1,Siglec1,ENSG00000088827
Jade3,Rnf6,ENSG00000127870
Mut,Top1mt,ENSG00000184428
Tnpo1,Chst4,ENSG00000140835
Dcaf8,Slco1a5,ENSG00000084453
Zfp780b,Xpa,ENSG00000136936
Tns3,Gsta3,ENSG00000182793
Srgap2,Tmem59l,ENSG00000105696
Btbd19,Tmem38b,ENSG00000095209
Nubp1,Fam98c,ENSG00000130244
Znhit6,Gpr35,ENSG00000178623
Bloc1s4,C1rl,ENSG00000139178
Camk1d,Pdlim5,ENSG00000163110
Dnajb3,F8,ENSG00000185010
Kansl1l,6430573F11Rik,ENSG00000250305
Tnk1,Lypd6b,ENSG00000150556
Pcdhb16,D630045J12Rik,ENSG00000122778
Dbn1,AW554918,ENSG00000150477
Ppih,Ier3,ENSG00000137331
Tbce,Pdf,ENSG00000258429
Rorc,Ginm1,ENSG00000055211
Supt7l,2010107E04Rik,ENSG00000156411
Bhlhe40,Clcc1,ENSG00000121940
Drc1,Pask,ENSG00000115687
Iah1,Nek11,ENSG00000114670
Wdr96,A2m,ENSG00000175899
Lphn3,Pkhd1,ENSG00000170927
Gemin5,Slc16a7,ENSG00000118596
Ano6,Akip1,ENSG00000166452
Zscan22,Pih1d2,ENSG00000150773
Gpr180,Nnt,ENSG00000112992
Heph,Secisbp2,ENSG00000187742
Lmbr1,Adck2,ENSG00000133597
Rpl27a,Mphosph9,ENSG00000051825
Cep250,Coq3,ENSG00000132423
Rasgef1a,Zfand4,ENSG00000172671
Atp6v1e1,Sharpin,ENSG00000179526
Pms1,Cep95,ENSG00000258890
Tsc2,Tpcn2,ENSG00000162341
Sft2d1,Serpinb6b,ENSG00000124570
Plvap,Rrp15,ENSG00000067533
Supt6,Tnfaip2,ENSG00000185215
Npnt,Eno4,ENSG00000188316
Fkbp3,Cyp2j9,ENSG00000134716
Cmklr1,Il4i1,ENSG00000104951
Il18bp,Cyp4f15,ENSG00000186115
Myl4,Aen,ENSG00000181026
Zfp78,Fam129a,ENSG00000135842
Kif23,Egln1,ENSG00000135766
Mettl21a,Vhl,ENSG00000134086
Ces1d,AA467197,ENSG00000166920
Xylb,Sergef,ENSG00000129158
Rnf170,6330403K07Rik,ENSG00000286190
2610507B11Rik,Txnrd1,ENSG00000198431
Dag1,Tlr5,ENSG00000187554
Was,Cdc20b,ENSG00000164287
Bend5,Alb,ENSG00000163631
Adamts20,Ccdc68,ENSG00000166510
Gdpd3,Gm6484,ENSG00000130173
Ptrf,Pld6,ENSG00000179598
Pdzd7,9630033F20Rik,ENSG00000078237
Dlec1,Gm11744,ENSG00000214140
H13,Usp36,ENSG00000055483
Coro2b,Cchcr1,ENSG00000204536
Ccdc134,Kif20b,ENSG00000138182
Ibtk,D430041D05Rik,ENSG00000110427
Slc16a4,Nmrk2,ENSG00000077009
Acad9,Ptcd2,ENSG00000049883
Brwd1,Daxx,ENSG00000204209
S100a1,Rmi1,ENSG00000178966
Pml,2210011C24Rik,ENSG00000141854
Eme1,Cd99l2,ENSG00000102181
Tsen15,Vwa1,ENSG00000179403
Rapgef6,2700094K13Rik,ENSG00000211450
Kirrel,Fam175a,ENSG00000163322
Ccdc65,C2cd2,ENSG00000157617
0610010K14Rik,Rabgap1l,ENSG00000152061
Zfp212,Limch1,ENSG00000064042
Ddit4,Man1b1,ENSG00000177239
Mtfp1,Fam150a,ENSG00000196711
Clybl,Cenpi,ENSG00000102384
4931429I11Rik,Rhpn1,ENSG00000158106
Rnf25,Alpk3,ENSG00000136383
Spock2,Vill,ENSG00000136059
Atp7a,Kif24,ENSG00000186638
Sh3bgrl,Fan1,ENSG00000198690
Pon3,Uvssa,ENSG00000163945
Anxa7,Gpr116,ENSG00000069122
Ints2,Ccdc155,ENSG00000161609
Ccpg1,Adamts7,ENSG00000136378
Csnk1g3,Chil1,ENSG00000133048
G6b,Srp14,ENSG00000140319
Gbas,Gm17296,ENSG00000059588
Mrps6,Fam154b,ENSG00000188659
Psmb4,Higd1a,ENSG00000181061
Clcn2,Cd109,ENSG00000156535
Spns1,Rilpl2,ENSG00000150977
Pde1c,Samd9l,ENSG00000177409
Cog1,Fgd5,ENSG00000154783
Ep400,Exoc3l4,ENSG00000205436
Map2k5,Qsox1,ENSG00000116260
Lrp2,Dpep1,ENSG00000015413
Ppm1g,Polr2m,ENSG00000255529
Kdm5a,Ppp1r32,ENSG00000162148
Ebpl,Cyb5b,ENSG00000103018
Pold4,Fam71f2,ENSG00000205085
Col22a1,Timp1,ENSG00000102265
Bbs9,1700037C18Rik,ENSG00000215131
Ube3c,Tlcd2,ENSG00000185561
Amdhd2,Fam83e,ENSG00000105523
Rnaseh2b,Ecm2,ENSG00000106823
Trim29,Apod,ENSG00000189058
Tox2,Hexb,ENSG00000049860
Fam120aos,Nek4,ENSG00000114904
Wdr89,Rbm48,ENSG00000127993
Coa6,Pot1b,ENSG00000128513
Pigr,Ibsp,ENSG00000029559
Dock8,2210408I21Rik,ENSG00000185261
Dennd1b,Ccdc148,ENSG00000153237
Fancl,D10Wsu102e,ENSG00000151131
Edrf1,AI467606,ENSG00000185905
Fpgs,Zfp422,ENSG00000165512
3110057O12Rik,Zfp318,ENSG00000171467
Chd3,Mlh3,ENSG00000119684
Ocel1,Fam64a,ENSG00000129195
Numa1,Ispd,ENSG00000214960
Nwd1,Gtf3c6,ENSG00000155115
Zfp13,Tctn3,ENSG00000119977
Mgst1,Cd47,ENSG00000196776
Gm9199,Sh2b3,ENSG00000111252
Dbhos,Ngrn,ENSG00000182768
Dnajc2,Ccdc157,ENSG00000187860
Anapc5,Wdr90,ENSG00000161996
Trmt5,Gsto1,ENSG00000148834
Polr2c,Txlnb,ENSG00000164440
Gyltl1b,Athl1,ENSG00000142102
Sirpb1a,Pus7l,ENSG00000129317
Ttc12,Cyp27a1,ENSG00000135929
Rgs12,Mettl8,ENSG00000123600
Atp9a,Hcfc1r1,ENSG00000103145
Kcnab2,Vrk3,ENSG00000105053
Cdk6,Mfsd9,ENSG00000135953
Rims1,Gja3,ENSG00000121743
Cbs,Capn11,ENSG00000137225
Rgs22,0610012G03Rik,ENSG00000270170
Igflr1,9430015G10Rik,ENSG00000131591
Mtor,4930523C07Rik,ENSG00000235750
Sec61b,Mbp,ENSG00000197971
Tbcd,Ppil6,ENSG00000185250
Cryab,Fancg,ENSG00000221829
Rtca,Brdt,ENSG00000137948
Atp6v0a2,Ghdc,ENSG00000167925
Ngrn,M1ap,ENSG00000159374
Scn1b,Rpain,ENSG00000129197
Eno3,Gdpd1,ENSG00000111845
Cdc42se2,Pak1ip1,ENSG00000111845
Ngly1,Kcnn2,ENSG00000080709
D2Wsu81e,Ifi35,ENSG00000068079
Ddx47,Gm101,ENSG00000163075
Glyctk,Gid4,ENSG00000141034
Trim14,P2rx6,ENSG00000099957
Gas2l3,Cdca3,ENSG00000111665
Dennd6b,Ttc34,ENSG00000215912
Wdr72,Cdhr3,ENSG00000128536
Cul4a,Ackr2,ENSG00000144648
9030404E10Rik,Bub1,ENSG00000169679
D15Ertd621e,Cdt1,ENSG00000167513
Arl6ip6,Sycp3,ENSG00000139351
Ushbp1,Rdh9,ENSG00000139547
Nedd1,Primpol,ENSG00000164306
Polq,Bag1,ENSG00000107262
AI987944,Eng,ENSG00000106991
Efnb2,Scgb1c1,ENSG00000188076
Cobll1,Catip,ENSG00000158428
Smim11,Sprtn,ENSG00000010072
Ankle2,Dfna5,ENSG00000105928
Gbp3,Slc39a4,ENSG00000147804
Mettl22,Gnb1l,ENSG00000185838
3632451O06Rik,Clmn,ENSG00000165959
Tfam,Zfp28,ENSG00000196867
Nit1,Mia2,ENSG00000212710
Nfatc2ip,Ctage5,ENSG00000212710
Zc3h14,Gpr182,ENSG00000166856
Acaa1a,Spa17,ENSG00000064199
Atp9b,Smyd4,ENSG00000186532
Enkur,Pm20d1,ENSG00000162877
Churc1,Nom1,ENSG00000146909
Fbxw11,Zfp518b,ENSG00000178163
Exosc1,Acot6,ENSG00000205669
Fjx1,H2-DMb2,ENSG00000242574
Zfp763,Surf6,ENSG00000148296
Slc30a2,Tspyl5,ENSG00000180543
AW551984,Setx,ENSG00000107290
Trpm7,Caps2,ENSG00000180881
Mrpl51,Fam179a,ENSG00000189350
Reep3,Fgd4,ENSG00000139132
Fbxo36,Cxcl17,ENSG00000189377
Usp2,Mzb1,ENSG00000170476
Ndufv3,Flywch2,ENSG00000162076
Dpp8,Smim4,ENSG00000168273
Sqrdl,Ndufaf4,ENSG00000123545
Atraid,Bcl2a1d,ENSG00000140379
9630033F20Rik,2510002D24Rik,ENSG00000242259
Dnaja2,Mterf1b,ENSG00000127989
Plxnd1,Haus5,ENSG00000249115
Bbs7,Msr1,ENSG00000038945
Slc35f6,Serpina10,ENSG00000140093
Adss,Tsc22d4,ENSG00000166925
Crmp1,Urb2,ENSG00000135763
Spcs1,Las1l,ENSG00000001497
Syt12,Clec12b,ENSG00000256660
Slc35e3,Tmem81,ENSG00000174529
Elp5,Gdf9,ENSG00000164404
Klhl32,Spata1,ENSG00000122432
Fibp,Stard6,ENSG00000174448
Mcmbp,Tmem186,ENSG00000184857
Nap1l1,Dnlz,ENSG00000213221
Ace2,Rnls,ENSG00000184719
Prpf8,Cd247,ENSG00000198821
Gnl1,Rnf8,ENSG00000112130
Apela,Kcnrg,ENSG00000198553
Ttc5,Fdxacb1,ENSG00000255561
A730017L22Rik,Tusc1,ENSG00000198680
6430573F11Rik,B3galt5,ENSG00000183778
Hspe1,Ttll3,ENSG00000214021
St6galnac2,Pecr,ENSG00000115425
2610028H24Rik,Pttg1,ENSG00000164611
Slit2,Mrpl32,ENSG00000106591
Cep63,Clec5a,ENSG00000258227
Zfp760,Hsd17b7,ENSG00000132196
Minos1,Ttf2,ENSG00000116830
Pten,Gpnmb,ENSG00000136235
Zwilch,Incenp,ENSG00000149503
I830077J02Rik,Gstk1,ENSG00000197448
Rnf208,Ccdc125,ENSG00000183323
Nav3,Pdcd2l,ENSG00000126249
Hdac11,Mkks,ENSG00000125863
Gtf2h1,Golga4,ENSG00000144674
Gpr4,Mterf1a,ENSG00000127989
Rab7,Kif14,ENSG00000118193
Ncaph,Fbxo34,ENSG00000178974
Dcp1a,R3hcc1,ENSG00000104679
Xpot,Plac9a,ENSG00000189129
Lyplal1,Plac9b,ENSG00000189129
Ddx10,Fdps,ENSG00000160752
Xrn1,H2-DMb1,ENSG00000242574
Brix1,Fam161b,ENSG00000156050
Abca1,Mrpl55,ENSG00000162910
4930453N24Rik,Nbn,ENSG00000104320
Cdc14a,Scarf1,ENSG00000074660
Hcfc1r1,Iqck,ENSG00000174628
Clcn6,Zfp324,ENSG00000083812
Tmsb4x,Eci2,ENSG00000198721
Hist2h2aa2,Znhit6,ENSG00000117174
Faf1,Tti2,ENSG00000129696
Huwe1,Plin5,ENSG00000214456
Jak1,Plagl1,ENSG00000118495
Inip,Sowahc,ENSG00000198142
Ttk,Tprn,ENSG00000176058
Rpap3,C1qa,ENSG00000173372
Spr,Ap5s1,ENSG00000125843
Raly,Plekhg2,ENSG00000090924
Mapkapk5,Zc3h3,ENSG00000014164
Hyal1,Oit1,ENSG00000198643
BC025920,Alpk1,ENSG00000073331
Rassf1,Akap7,ENSG00000118507
Epha3,Sftpa1,ENSG00000122852
Med4,Scgb3a2,ENSG00000164265
Ftsj2,Cyp4f17,ENSG00000186526
Rpl21,Ramp1,ENSG00000132329
Fat1,Tlr2,ENSG00000137462
Cnep1r1,Fam132b,ENSG00000178752
Pip4k2b,Gm13304,ENSG00000137077
Bzw2,Ccl21c,ENSG00000137077
Yipf4,Gm10591,ENSG00000137077
Lemd3,Gm21541,ENSG00000137077
Nup93,Kif18b,ENSG00000186185
Trappc13,Cblc,ENSG00000142273
Hivep1,Timmdc1,ENSG00000113845
Aebp1,Tceal5,ENSG00000204065
Vgll4,Gm3414,ENSG00000178177
Rttn,Lcorl,ENSG00000178177
Ddx24,Efcab10,ENSG00000185055
Pcdhga12,Pbxip1,ENSG00000163346
Gstm5,Bcl2a1a,ENSG00000140379
Cxcl17,Bcl2a1b,ENSG00000140379
Med12l,Sec16a,ENSG00000148396
Ppp1r12c,Ano9,ENSG00000185101
Ift43,Ces2e,ENSG00000172831
Cbx1,Cxcr2,ENSG00000180871
Tubg1,Ccdc142,ENSG00000135637
Bcl2l12,Tcp11,ENSG00000124678
Fam83d,Tmem126a,ENSG00000171202
Hexa,Pycard,ENSG00000103490
Commd3,Cyp4f16,ENSG00000186526
Nynrin,Cyp4f13,ENSG00000186526
Thumpd1,Wdr76,ENSG00000092470
Ell3,Smarcal1,ENSG00000138375
Timm8a1,Tnfrsf19,ENSG00000127863
Nkain4,Prss12,ENSG00000164099
Rps19,Ldlrad1,ENSG00000203985
Sf3b6,Gbp2,ENSG00000162645
Ift52,Cebpb,ENSG00000172216
Atp6v1d,Ctso,ENSG00000256043
Dennd1c,Spata13,ENSG00000182957
Mterfd3,Fgd2,ENSG00000146192
Fam213b,Mblac1,ENSG00000214309
Cd163,Cln5,ENSG00000102805
Gm12185,Fam185a,ENSG00000222011
Eif2ak3,Apoe,ENSG00000130203
Dcun1d5,Mpg,ENSG00000103152
Exph5,Sphkap,ENSG00000153820
Adam17,Ptpn22,ENSG00000134242
Stt3a,Mrps11,ENSG00000181991
Sema5b,Rrp8,ENSG00000132275
Map2k2,Lysmd4,ENSG00000183060
6720489N17Rik,4930550C14Rik,ENSG00000166323
Prdm6,Tlr8,ENSG00000101916
Adamts7,Sftpb,ENSG00000168878
Zfp808,Itgax,ENSG00000140678
Gch1,Igf1,ENSG00000017427
Commd4,Tulp3,ENSG00000078246
Lgals9,Adamts20,ENSG00000173157
1110059E24Rik,Ltf,ENSG00000012223
Sf3a3,2310057M21Rik,ENSG00000119965
Aldh2,Armc10,ENSG00000170632
Zfp334,Ahctf1,ENSG00000153207
S100pbp,Malsu1,ENSG00000156928
Ccdc130,Iba57,ENSG00000181873
Tbc1d22b,Tnks1bp1,ENSG00000149115
Smc3,Obscn,ENSG00000154358
Rpn1,Dcdc2b,ENSG00000222046
Slc27a4,Senp7,ENSG00000138468
Csgalnact2,Stap2,ENSG00000178078
5530601H04Rik,Oas3,ENSG00000111331
Wars,Rbm34,ENSG00000188739
Pign,Il2rg,ENSG00000147168
Gfpt1,Cenpw,ENSG00000203760
Auts2,Thtpa,ENSG00000259431
Slc10a7,Ccp110,ENSG00000103540
Sos2,Oasl1,ENSG00000135114
Mks1,Rdm1,ENSG00000278023
Zfp202,Oma1,ENSG00000162600
Asxl1,1700013F07Rik,ENSG00000179902
Fam136a,4833427G06Rik,ENSG00000183644
B2m,Mbd1,ENSG00000141644
Pdf,Bex1,ENSG00000133169
Ccdc78,Obfc1,ENSG00000107960
Glyr1,Acsm1,ENSG00000166743
Top1mt,Stpg1,ENSG00000001460
Setbp1,Vwa3a,ENSG00000175267
Tenm3,Syne2,ENSG00000054654
Sft2d2,Phrf1,ENSG00000070047
C1qa,Sepp1,ENSG00000250722
Fbxl15,Selp,ENSG00000250722
Aasdhppt,Dcdc2c,ENSG00000214866
Figf,Cd101,ENSG00000134256
S100a10,Ranbp3l,ENSG00000164188
Mrps36,Slc10a5,ENSG00000253598
Lepre1,Akr1e1,ENSG00000165568
Sec16b,Ino80c,ENSG00000153391
Zfp677,Ces2b,ENSG00000172831
Ccdc181,Nufip1,ENSG00000083635
Agt,Slc10a6,ENSG00000145283
Tlr8,Sptlc3,ENSG00000172296
Gsg2,Apitd1,ENSG00000175279
Dnah6,Rnh1,ENSG00000023191
Cfl1,Uri1,ENSG00000105176
